Classe;CODIGO;NOME;NOME_ABREV;Pes;Tipo
Saldo;20548;Saldo - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias;SALDO_PJ_CAPGIRPRZSUP365;PJ;Livre
Saldo;20549;Saldo - Pessoas jurídicas - Capital de giro rotativo;SALDO_PJ_CAPGIRROTATIVO;PJ;Livre
Saldo;20551;Saldo - Pessoas jurídicas - Conta garantida;SALDO_PJ_CONGARANTIDA;PJ;Livre
Saldo;20552;Saldo - Pessoas jurídicas - Cheque especial;SALDO_PJ_CHQESPECIAL;PJ;Livre
Saldo;20553;Saldo - Pessoas jurídicas - Aquisição de veículos;SALDO_PJ_AQUVEICULOS;PJ;Livre
Saldo;20554;Saldo - Pessoas jurídicas - Aquisição de outros bens;SALDO_PJ_AQUOUTBENS;PJ;Livre
Saldo;20556;Saldo - Pessoas jurídicas - Arrendamento mercantil de veículos;SALDO_PJ_ARRMERVEICULOS;PJ;Livre
Saldo;20557;Saldo - Pessoas jurídicas - Arrendamento mercantil de outros bens;SALDO_PJ_ARRMEROUTBENS;PJ;Livre
Saldo;20559;Saldo - Pessoas jurídicas - Vendor;SALDO_PJ_VENDOR;PJ;Livre
Saldo;20560;Saldo - Pessoas jurídicas - Compror;SALDO_PJ_COMPROR;PJ;Livre
Saldo;20561;Saldo - Pessoas jurídicas - Cartão de crédito rotativo;SALDO_PJ_CARCRDROTATIVO;PJ;Livre
Saldo;20562;Saldo - Pessoas jurídicas - Cartão de crédito parcelado;SALDO_PJ_CARCRDPARCELADO;PJ;Livre
Saldo;20563;Saldo - Pessoas jurídicas - Cartão de crédito à vista;SALDO_PJ_CARCRDAVISTA;PJ;Livre
Saldo;20565;Saldo - Pessoas jurídicas - Adiantamento sobre contratos de câmbio (ACC);SALDO_PJ_ACC;PJ;Livre
Saldo;20566;Saldo - Pessoas jurídicas - Financiamento a importações;SALDO_PJ_FINIMPORTACOES;PJ;Livre
Saldo;20567;Saldo - Pessoas jurídicas - Financiamento a exportações;SALDO_PJ_FINEXPORTACOES;PJ;Livre
Saldo;20568;Saldo - Pessoas jurídicas - Repasse externo;SALDO_PJ_REPEXTERNO;PJ;Livre
Saldo;20569;Saldo - Pessoas jurídicas - Outros créditos livres;SALDO_PJ_OUTROSLIVRES;PJ;Livre
Saldo;20573;Saldo - Pessoas físicas - Cheque especial;SALDO_PF_CHQESPECIAL;PF;Livre
Saldo;20574;Saldo - Pessoas físicas - Crédito pessoal não consignado;SALDO_PF_CRDPESNAOCONSIGNADO;PF;Livre
Saldo;20575;Saldo - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas;SALDO_PF_CRDPESNAOCONVINCOMP;PF;Livre
Saldo;20577;Saldo - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor público;SALDO_PF_CRDPESCONTRASETPUBLICO;PF;Livre
Saldo;20576;Saldo - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado;SALDO_PF_CRDPESCONTRASETPRIVADO;PF;Livre
Saldo;20578;Saldo - Pessoas físicas - Crédito pessoal consignado para aposentados e pensionistas do INSS;SALDO_PF_CRDPESCONAPOINSS;PF;Livre
Saldo;20581;Saldo - Pessoas físicas - Aquisição de veículos;SALDO_PF_AQUVEICULOS;PF;Livre
Saldo;20582;Saldo - Pessoas físicas - Aquisição de outros bens;SALDO_PF_AQUOUTBENS;PF;Livre
Saldo;20587;Saldo - Pessoas físicas - Cartão de crédito rotativo;SALDO_PF_CARCRDROTATIVO;PF;Livre
Saldo;20588;Saldo - Pessoas físicas - Cartão de crédito parcelado;SALDO_PF_CARCRDPARCELADO;PF;Livre
Saldo;20589;Saldo - Pessoas físicas - Cartão de crédito à vista;SALDO_PF_CARCRDAVISTA;PF;Livre
Saldo;20584;Saldo - Pessoas físicas - Arrendamento mercantil de veículos;SALDO_PF_ARRMERVEICULOS;PF;Livre
Saldo;20585;Saldo - Pessoas físicas - Arrendamento mercantil de outros bens;SALDO_PF_ARRMEROUTBENS;PF;Livre
Saldo;20591;Saldo - Pessoas físicas - Desconto de cheques;SALDO_PF_DESCHEQUES;PF;Livre
Saldo;20592;Saldo - Pessoas físicas - Outros créditos livres;SALDO_PF_OUTROSLIVRES;PF;Livre
